id,name,firstname,lastname,age,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,birth_date,birth_place,birth_country
766,R. Olsen,Robin Patrick,Olsen,34,Sweden,198 cm,89 kg,False,https://media.api-sports.io/football/players/766.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,5.0,4.0,404.0,,Goalkeeper,7.160000,False,1.0,0.0,27.0,,,0.0,13.0,0.0,21.0,184.0,,29.0,,,,4.0,4.0,,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,1990-01-08,Malmö,Sweden
1119,K. Ajer,Kristoffer,Vassbakk Köpp Ajer,26,Norway,198 cm,92 kg,False,https://media.api-sports.io/football/players/1119.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,28.0,21.0,1832.0,,Defender,6.857142,False,7.0,8.0,8.0,9.0,4.0,2.0,0.0,1.0,,722.0,12.0,19.0,38.0,11.0,25.0,190.0,121.0,12.0,10.0,,10.0,25.0,5.0,0.0,0.0,,,0.0,0.0,,1998-04-17,Rælingen,Norway
7029,J. Gauci,Joe Anthony,Gauci,24,Australia,194 cm,88 kg,False,https://media.api-sports.io/football/players/7029.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,0.0,0.0,0.0,,Goalkeeper,,False,0.0,0.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,2000-07-04,Adelaide,Australia
15745,M. Roerslev,Mads,Roerslev Rasmussen,25,Denmark,184 cm,77 kg,False,https://media.api-sports.io/football/players/15745.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,34.0,22.0,1987.0,,Defender,6.638235,False,12.0,14.0,15.0,5.0,1.0,1.0,0.0,2.0,,605.0,15.0,12.0,48.0,3.0,19.0,182.0,88.0,26.0,11.0,,15.0,10.0,1.0,0.0,0.0,,,0.0,0.0,,1999-06-24,København,Denmark
15908,M. Damsgaard,Mikkel,Krogh Damsgaard,24,Denmark,180 cm,66 kg,False,https://media.api-sports.io/football/players/15908.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,23.0,7.0,832.0,,Midfielder,6.821739,False,16.0,7.0,19.0,6.0,4.0,0.0,0.0,2.0,,394.0,11.0,14.0,29.0,1.0,11.0,128.0,58.0,20.0,9.0,,8.0,14.0,2.0,0.0,0.0,,,0.0,0.0,,2000-07-03,Jyllinge,Denmark
18917,B. Mee,Benjamin Thomas,Mee,35,England,180 cm,74 kg,False,https://media.api-sports.io/football/players/18917.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,16.0,15.0,1275.0,,Defender,6.793333,False,1.0,3.0,3.0,6.0,2.0,2.0,0.0,,,605.0,6.0,28.0,26.0,13.0,13.0,121.0,67.0,6.0,3.0,,3.0,7.0,1.0,0.0,1.0,,,0.0,0.0,,1989-09-21,Sale,England
19362,J. Dasilva,Pelenda Joshua Tunga,Dasilva,26,England,184 cm,75 kg,False,https://media.api-sports.io/football/players/19362.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,3.0,0.0,22.0,,Midfielder,6.400000,False,3.0,1.0,4.0,,,0.0,0.0,,,13.0,1.0,3.0,2.0,,,12.0,4.0,4.0,2.0,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,1998-10-23,,England
19495,N. Collins,Nathan Michael,Collins,23,Republic of Ireland,193 cm,,False,https://media.api-sports.io/football/players/19495.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,32.0,29.0,2650.0,,Defender,6.862500,False,3.0,1.0,4.0,8.0,2.0,1.0,0.0,1.0,,1468.0,11.0,37.0,38.0,30.0,44.0,217.0,145.0,13.0,11.0,,23.0,12.0,3.0,0.0,0.0,,,0.0,0.0,,2001-04-30,Leixlip,Republic of Ireland
19599,E. Martínez,Damián Emiliano,Martínez Romero,32,Argentina,195 cm,88 kg,False,https://media.api-sports.io/football/players/19599.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,34.0,34.0,3016.0,,Goalkeeper,7.114705,False,0.0,1.0,0.0,,,0.0,48.0,,95.0,1272.0,2.0,30.0,,,,14.0,13.0,,,,7.0,1.0,4.0,0.0,0.0,,,0.0,0.0,0.0,1992-09-02,Mar del Plata,Argentina
19789,E. Pinnock,Ethan Rupert,Pinnock,31,Jamaica,187 cm,79 kg,False,https://media.api-sports.io/football/players/19789.png,55,Brentford,https://media.api-sports.io/football/teams/55.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2023,29.0,28.0,2520.0,,Defender,7.058620,False,1.0,0.0,1.0,16.0,4.0,2.0,0.0,0.0,,1398.0,4.0,40.0,35.0,24.0,43.0,238.0,165.0,9.0,6.0,,11.0,4.0,1.0,0.0,0.0,,,0.0,0.0,,1993-05-29,London,England
