id,name,firstname,lastname,age,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,birth_date,birth_place,birth_country
2332,A. Fiola,Attila Csaba,Fiola,34,Hungary,182 cm,70 kg,False,https://media.api-sports.io/football/players/2332.png,769,Hungary,https://media.api-sports.io/football/teams/769.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,2.0,2.0,180.0,,Defender,6.200000,False,0.0,0.0,1.0,,,0.0,0.0,0.0,,68.0,1.0,26.0,3.0,1.0,,17.0,7.0,1.0,,,3.0,5.0,0.0,0.0,0.0,,,0.0,0.0,,1990-02-17,Szekszárd,Hungary
7398,B. Varga,Barnabás,Varga,30,Hungary,181 cm,74 kg,False,https://media.api-sports.io/football/players/7398.png,769,Hungary,https://media.api-sports.io/football/teams/769.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,3.0,3.0,251.0,,Attacker,6.733333,False,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,,53.0,1.0,9.0,4.0,1.0,1.0,42.0,23.0,1.0,,,4.0,2.0,1.0,0.0,0.0,,,0.0,0.0,,1994-10-25,Szombathely,Hungary
7598,P. Pentz,Patrick,Pentz,27,Austria,183 cm,80 kg,False,https://media.api-sports.io/football/players/7598.png,775,Austria,https://media.api-sports.io/football/teams/775.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,4.0,4.0,360.0,,Goalkeeper,6.775000,False,0.0,0.0,0.0,,,0.0,6.0,0.0,7.0,135.0,,27.0,,,,3.0,3.0,,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,1997-01-02,Salzburg,Austria
25343,P. Pekarík,Peter,Pekarík,38,Slovakia,177 cm,73 kg,False,https://media.api-sports.io/football/players/25343.png,773,Slovakia,https://media.api-sports.io/football/teams/773.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,4.0,4.0,378.0,,Defender,6.800000,False,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,,90.0,3.0,20.0,1.0,3.0,7.0,24.0,9.0,3.0,1.0,,2.0,3.0,1.0,0.0,0.0,,,0.0,0.0,,1986-10-30,Žilina,Slovakia
28322,D. Dibusz,Dénes,Dibusz,34,Hungary,188 cm,81 kg,False,https://media.api-sports.io/football/players/28322.png,769,Hungary,https://media.api-sports.io/football/teams/769.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,0.0,0.0,0.0,,Goalkeeper,,False,0.0,0.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1990-11-16,Pécs,Hungary
28326,E. Botka,Endre,Botka,30,Hungary,177 cm,77 kg,False,https://media.api-sports.io/football/players/28326.png,769,Hungary,https://media.api-sports.io/football/teams/769.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,1.0,1.0,90.0,,Defender,7.000000,False,0.0,0.0,2.0,,,0.0,0.0,0.0,,33.0,,30.0,3.0,,1.0,18.0,9.0,1.0,,,,2.0,0.0,0.0,0.0,,,0.0,0.0,,1994-08-25,Budapest,Hungary
28478,Z. Nagy,Zsolt,Nagy,31,Hungary,188 cm,76 kg,False,https://media.api-sports.io/football/players/28478.png,769,Hungary,https://media.api-sports.io/football/teams/769.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,2.0,0.0,19.0,,Defender,6.700000,False,2.0,0.0,3.0,,,0.0,0.0,0.0,,5.0,,3.0,2.0,,,6.0,5.0,1.0,1.0,,1.0,,0.0,0.0,0.0,,,0.0,0.0,,1993-05-25,Székesfehérvár,Hungary
28561,M. Kata,Mihály,Kata,22,Hungary,176 cm,75 kg,False,https://media.api-sports.io/football/players/28561.png,769,Hungary,https://media.api-sports.io/football/teams/769.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,0.0,0.0,0.0,,Midfielder,,False,0.0,0.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,2002-04-13,Budapest,Hungary
30010,G. Gvelesiani,Giorgi,Gvelesiani,33,Georgia,193 cm,81 kg,False,https://media.api-sports.io/football/players/30010.png,1104,Georgia,https://media.api-sports.io/football/teams/1104.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,3.0,2.0,163.0,,Defender,6.600000,False,1.0,2.0,2.0,,,0.0,0.0,0.0,,36.0,,8.0,3.0,3.0,2.0,5.0,3.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,,1991-05-05,Tbilisi,Georgia
31023,J. Kucka,Juraj,Kucka,37,Slovakia,186 cm,81 kg,False,https://media.api-sports.io/football/players/31023.png,773,Slovakia,https://media.api-sports.io/football/teams/773.png,4,Euro Championship,World,https://media.api-sports.io/football/leagues/4.png,,2024,4.0,4.0,351.0,,Midfielder,6.875000,False,0.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,,120.0,4.0,22.0,1.0,1.0,2.0,34.0,12.0,3.0,,,4.0,6.0,1.0,0.0,0.0,,,0.0,0.0,,1987-02-26,Bojnice,Slovakia
