team_id,team_name,team_logo,team_update,player_id,player_name,player_photo,stat_games_minutes,stat_games_number,stat_games_position,stat_games_rating,stat_games_captain,stat_games_substitute,stat_offsides,stat_shots_total,stat_shots_on,stat_goals_total,stat_goals_conceded,stat_goals_assists,stat_goals_saves,stat_passes_total,stat_passes_key,stat_passes_accuracy,stat_tackles_total,stat_tackles_blocks,stat_tackles_interceptions,stat_duels_total,stat_duels_won,stat_dribbles_attempts,stat_dribbles_success,stat_dribbles_past,stat_fouls_drawn,stat_fouls_committed,stat_cards_yellow,stat_cards_red,stat_penalty_won,stat_penalty_commited,stat_penalty_scored,stat_penalty_missed,stat_penalty_saved,fixture_id
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,90.0,1,G,6.2,False,False,,,,,1,0.0,,10.0,,9.0,,,,,,,,,,,0,0,,,0,0,0.0,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90.0,6,D,7.5,False,False,,,,,0,1.0,,78.0,4.0,72.0,1.0,,,6.0,1.0,1.0,,4.0,,,0,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,2285,Antonio Rüdiger,https://media.api-sports.io/football/players/2285.png,90.0,2,D,7.0,False,False,,1.0,1.0,,0,0.0,,91.0,,85.0,1.0,,,4.0,2.0,,,,,1.0,0,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,972,Jonathan Tah,https://media.api-sports.io/football/players/972.png,90.0,4,D,6.9,False,False,1.0,,,,0,0.0,,93.0,1.0,91.0,,,,5.0,3.0,,,,1.0,2.0,1,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,25342,Maximilian Mittelstädt,https://media.api-sports.io/football/players/25342.png,90.0,18,D,7.3,False,False,,2.0,,,0,0.0,,62.0,2.0,58.0,1.0,,,7.0,3.0,1.0,,,2.0,2.0,0,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,24903,Robert Andrich,https://media.api-sports.io/football/players/24903.png,45.0,23,M,6.3,False,False,,,,,0,0.0,,28.0,,25.0,1.0,,,6.0,1.0,,,,,4.0,1,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,752,Toni Kroos,https://media.api-sports.io/football/players/752.png,80.0,8,M,7.9,False,False,,,,,0,0.0,,102.0,4.0,101.0,,,1.0,2.0,1.0,,,,1.0,1.0,0,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,181812,Jamal Musiala,https://media.api-sports.io/football/players/181812.png,74.0,10,M,7.9,False,False,,1.0,1.0,1.0,0,0.0,,32.0,,32.0,2.0,,1.0,15.0,9.0,8.0,5.0,,2.0,,0,0,,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,633,İlkay Gündoğan,https://media.api-sports.io/football/players/633.png,90.0,21,M,7.3,True,False,,1.0,1.0,,0,0.0,,34.0,,31.0,2.0,,,10.0,5.0,,,1.0,2.0,1.0,0,0,1.0,,0,0,,1145509
25,Germany,https://media.api-sports.io/football/teams/25.png,2024-07-16T04:04:32+00:00,203224,Florian Wirtz,https://media.api-sports.io/football/players/203224.png,63.0,17,M,7.3,False,False,1.0,3.0,1.0,1.0,0,0.0,,31.0,,29.0,,,,5.0,2.0,2.0,1.0,,1.0,,0,0,,,0,0,,1145509
