id,name,firstname,lastname,age,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,birth_date,birth_place,birth_country
83,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,26,Netherlands,178 cm,74 kg,False,https://media.api-sports.io/football/players/83.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-31,Lagos,Nigeria
274,E. Cavani,Edinson Roberto,Cavani Gómez,36,Uruguay,184 cm,71 kg,False,https://media.api-sports.io/football/players/274.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987-02-14,Salto,Uruguay
634,David Silva,David Josué,Jiménez Silva,37,Spain,170 cm,67 kg,False,https://media.api-sports.io/football/players/634.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986-01-08,Arguineguín,Spain
1584,Loren Morón,Lorenzo Jesús,Morón García,30,Spain,188 cm,66 kg,False,https://media.api-sports.io/football/players/1584.png,543,Real Betis,https://media.api-sports.io/football/teams/543.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-12-30,Marbella,Spain
1699,Iborra,Vicente,Iborra de la Fuente,35,Spain,190 cm,80 kg,False,https://media.api-sports.io/football/players/1699.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-01-16,Moncada,Spain
1700,Iván Martín,Iván,Martín Núñez,25,Spain,178 cm,70 kg,False,https://media.api-sports.io/football/players/1700.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-02-14,Bilbao,Spain
18742,M. Doherty,Matthew James,Doherty,31,Republic of Ireland,185 cm,80 kg,False,https://media.api-sports.io/football/players/18742.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-16,Dublin,Republic of Ireland
18949,Oriol Romeu,Oriol,Romeu Vidal,33,Spain,183 cm,83 kg,False,https://media.api-sports.io/football/players/18949.png,547,Girona,https://media.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-24,Ulldecona,Spain
32871,T. Hara,Taichi,Hara,24,Japan,191 cm,84 kg,False,https://media.api-sports.io/football/players/32871.png,542,Alaves,https://media.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-05-05,Hino,Japan
46910,Iván Martos,Iván,Martos Campillo,26,Spain,182 cm,68 kg,False,https://media.api-sports.io/football/players/46910.png,723,Almeria,https://media.api-sports.io/football/teams/723.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-05-15,Manresa,Spain
47080,Jorge Sáenz,Jorge,Sáenz de Miera Colmeiro,27,Spain,192 cm,75 kg,False,https://media.api-sports.io/football/players/47080.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-11-17,Santa Cruz de Tenerife,Spain
170541,Miquel Llabrés,Miquel,Llabrés Alemany,23,Spain,,,False,https://media.api-sports.io/football/players/170541.png,798,Mallorca,https://media.api-sports.io/football/teams/798.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-28,,Spain
182496,Joel del Pino,Joel,del Pino Lorenzo Gil,26,Spain,,,False,https://media.api-sports.io/football/players/182496.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-11-22,Las Palmas de Gran Canaria,Spain
182515,Claudio,Claudio,Mendes Vicente,23,Spain,186 cm,80 kg,False,https://media.api-sports.io/football/players/182515.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12-08,Arrecife,Spain
182588,Juan Artola,Juan,Artola Canales,23,Spain,176 cm,72 kg,False,https://media.api-sports.io/football/players/182588.png,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-07,Bilbao,Spain
182627,Alex Petxarroman,Alex,Petxarroman Eizaguirre,26,Spain,179 cm,67 kg,False,https://media.api-sports.io/football/players/182627.png,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-02-06,San Sebastián,Spain
276995,F. Mwepu,Francisco,Mwepu,23,Zambia,178 cm,70 kg,False,https://media.api-sports.io/football/players/276995.png,724,Cadiz,https://media.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-02-29,Chambishi,Zambia
289788,Yoel Ramírez,Yoel,Ramírez Sesma,21,Spain,184 cm,,False,https://media.api-sports.io/football/players/289788.png,727,Osasuna,https://media.api-sports.io/football/teams/727.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-02-05,Mallén,Spain
347886,Félix Garreta,Félix,Martí Garreta,19,Spain,,,False,https://media.api-sports.io/football/players/347886.png,543,Real Betis,https://media.api-sports.io/football/teams/543.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-04-21,Palau-solità i Plegamans,Spain
371912,Dani Rodríguez,Daniel,Rodríguez Crespo,18,Spain,,,False,https://media.api-sports.io/football/players/371912.png,529,Barcelona,https://media.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-09,,Spain
372,Éder Militão,Éder Gabriel,Militão Pinheiro,26,Brazil,186 cm,78 kg,False,https://media.api-sports.io/football/players/372.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,10.0,6.0,495.0,,Defender,6.862500,False,4.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,,326.0,,32.0,7.0,3.0,5.0,46.0,24.0,,,,5.0,5.0,0.0,0.0,0.0,,,0.0,0.0,,1998-01-18,Sertãozinho,Brazil
505,D. Alaba,David,Olatukunbo Alaba,32,Austria,180 cm,78 kg,False,https://media.api-sports.io/football/players/505.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,14.0,14.0,1156.0,,Defender,7.135714,False,0.0,2.0,1.0,10.0,4.0,0.0,0.0,1.0,,878.0,10.0,57.0,14.0,7.0,16.0,42.0,24.0,,,,,4.0,2.0,0.0,0.0,,,0.0,0.0,,1992-06-24,Wien,Austria
653,F. Mendy,Ferland Sinna,Mendy,29,France,180 cm,73 kg,False,https://media.api-sports.io/football/players/653.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,23.0,21.0,1726.0,,Defender,6.891304,False,2.0,9.0,7.0,3.0,2.0,0.0,0.0,0.0,,1134.0,11.0,46.0,15.0,2.0,13.0,101.0,49.0,26.0,13.0,,15.0,17.0,5.0,0.0,0.0,,,0.0,0.0,,1995-06-08,Meulan-En-Yvelines,France
730,T. Courtois,Thibaut Nicolas Marc,Courtois,32,Belgium,200 cm,96 kg,False,https://media.api-sports.io/football/players/730.png,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2023,4.0,4.0,333.0,,Goalkeeper,8.050000,False,0.0,1.0,1.0,,,0.0,0.0,0.0,16.0,98.0,1.0,22.0,1.0,,,3.0,3.0,,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,1992-05-11,Bree,Belgium
