id,name,firstname,lastname,age,nationality,height,weight,injured,photo,logo,country,flag,season,appearences,lineups,minutes,number,position,rating,captain,in,out,bench,total,on,conceded,assists,saves,key,accuracy,blocks,interceptions,won,attempts,success,past,drawn,committed,yellow,yellowred,red,commited,scored,missed,saved,birth_date,birth_place,birth_country
4,Euro Championship,Attila Csaba,Fiola,34,Hungary,182 cm,70 kg,False,https://media.api-sports.io/football/players/2332.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,2.0,2.0,180.0,,Defender,6.200000,False,0.0,0.0,1.0,17.0,,0.0,0.0,,1.0,26.0,1.0,,,1.0,,,3.0,5.0,0.0,0.0,0.0,,0.0,0.0,,1990-02-17,Szekszárd,Hungary
4,Euro Championship,Barnabás,Varga,30,Hungary,181 cm,74 kg,False,https://media.api-sports.io/football/players/7398.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,3.0,251.0,,Attacker,6.733333,False,0.0,2.0,0.0,42.0,2.0,0.0,0.0,,1.0,9.0,1.0,1.0,,1.0,,,4.0,2.0,1.0,0.0,0.0,,0.0,0.0,,1994-10-25,Szombathely,Hungary
4,Euro Championship,Patrick,Pentz,27,Austria,183 cm,80 kg,False,https://media.api-sports.io/football/players/7598.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,4.0,4.0,360.0,,Goalkeeper,6.775000,False,0.0,0.0,0.0,3.0,,6.0,0.0,7.0,,27.0,,,,,,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1997-01-02,Salzburg,Austria
4,Euro Championship,Peter,Pekarík,38,Slovakia,177 cm,73 kg,False,https://media.api-sports.io/football/players/25343.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,4.0,4.0,378.0,,Defender,6.800000,False,0.0,2.0,0.0,24.0,,0.0,0.0,,3.0,20.0,3.0,7.0,,3.0,1.0,,2.0,3.0,1.0,0.0,0.0,,0.0,0.0,,1986-10-30,Žilina,Slovakia
4,Euro Championship,Dénes,Dibusz,34,Hungary,188 cm,81 kg,False,https://media.api-sports.io/football/players/28322.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,0.0,0.0,0.0,,Goalkeeper,,False,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,1990-11-16,Pécs,Hungary
4,Euro Championship,Endre,Botka,30,Hungary,177 cm,77 kg,False,https://media.api-sports.io/football/players/28326.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,1.0,1.0,90.0,,Defender,7.000000,False,0.0,0.0,2.0,18.0,,0.0,0.0,,,30.0,,1.0,,1.0,,,,2.0,0.0,0.0,0.0,,0.0,0.0,,1994-08-25,Budapest,Hungary
4,Euro Championship,Zsolt,Nagy,31,Hungary,188 cm,76 kg,False,https://media.api-sports.io/football/players/28478.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,2.0,0.0,19.0,,Defender,6.700000,False,2.0,0.0,3.0,6.0,,0.0,0.0,,,3.0,,,,1.0,1.0,,1.0,,0.0,0.0,0.0,,0.0,0.0,,1993-05-25,Székesfehérvár,Hungary
4,Euro Championship,Mihály,Kata,22,Hungary,176 cm,75 kg,False,https://media.api-sports.io/football/players/28561.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,0.0,0.0,0.0,,Midfielder,,False,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,2002-04-13,Budapest,Hungary
4,Euro Championship,Giorgi,Gvelesiani,33,Georgia,193 cm,81 kg,False,https://media.api-sports.io/football/players/30010.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,2.0,163.0,,Defender,6.600000,False,1.0,2.0,2.0,5.0,,0.0,0.0,,,8.0,3.0,2.0,,,,,,,1.0,0.0,0.0,,0.0,0.0,,1991-05-05,Tbilisi,Georgia
4,Euro Championship,Juraj,Kucka,37,Slovakia,186 cm,81 kg,False,https://media.api-sports.io/football/players/31023.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,4.0,4.0,351.0,,Midfielder,6.875000,False,0.0,1.0,0.0,34.0,2.0,0.0,1.0,,4.0,22.0,1.0,2.0,,3.0,,,4.0,6.0,1.0,0.0,0.0,,0.0,0.0,,1987-02-26,Bojnice,Slovakia
4,Euro Championship,Vasile,Mogoș,32,Romania,186 cm,84 kg,False,https://media.api-sports.io/football/players/31608.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,1.0,1.0,38.0,,Defender,6.300000,False,0.0,1.0,3.0,3.0,,0.0,0.0,,,3.0,,,,,,,2.0,,0.0,0.0,0.0,,0.0,0.0,,1992-10-31,Vaslui,Romania
4,Euro Championship,Vanja,Drkušić,25,Slovenia,188 cm,80 kg,False,https://media.api-sports.io/football/players/36983.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,4.0,4.0,390.0,,Defender,6.975000,False,0.0,0.0,0.0,34.0,,0.0,0.0,,1.0,20.0,2.0,1.0,,1.0,1.0,,1.0,7.0,1.0,0.0,0.0,,0.0,0.0,,1999-10-30,Novo mesto,Slovenia
4,Euro Championship,Nicușor Silviu,Bancu,32,Romania,178 cm,65 kg,False,https://media.api-sports.io/football/players/43048.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,3.0,270.0,,Defender,6.833333,False,0.0,0.0,0.0,13.0,,0.0,0.0,,2.0,26.0,2.0,,,2.0,2.0,,2.0,4.0,2.0,0.0,0.0,,0.0,0.0,,1992-09-18,Crâmpoia,Romania
4,Euro Championship,Alexandru,Cicâldău,27,Romania,178 cm,74 kg,False,https://media.api-sports.io/football/players/43050.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,1.0,0.0,18.0,,Midfielder,6.300000,False,1.0,0.0,4.0,2.0,,0.0,0.0,,,2.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,1997-07-08,Medgidia,Romania
4,Euro Championship,Arlind Afrim,Ajeti,31,Albania,184 cm,77 kg,False,https://media.api-sports.io/football/players/48566.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,3.0,270.0,,Defender,6.633333,False,0.0,0.0,0.0,18.0,,0.0,0.0,,,31.0,4.0,6.0,,1.0,1.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,,1993-09-25,Basel,Switzerland
4,Euro Championship,Guram,Kashia,37,Georgia,185 cm,87 kg,False,https://media.api-sports.io/football/players/51171.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,4.0,4.0,360.0,,Defender,7.075000,False,0.0,0.0,0.0,25.0,,0.0,0.0,,,23.0,12.0,1.0,,,,,1.0,2.0,1.0,0.0,0.0,,0.0,0.0,,1987-07-04,Tbilisi,Georgia
4,Euro Championship,Jindřich,Staněk,28,Czechia,192 cm,84 kg,False,https://media.api-sports.io/football/players/66347.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,3.0,235.0,,Goalkeeper,7.000000,False,0.0,1.0,0.0,,,4.0,0.0,9.0,,13.0,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,1996-04-27,Strakonice,Czechia
4,Euro Championship,George Daniel,Bîrligea,24,Romania,184 cm,80 kg,False,https://media.api-sports.io/football/players/126892.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,0.0,0.0,0.0,,Attacker,,False,0.0,0.0,4.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,2000-04-19,Brăila,Romania
4,Euro Championship,Anzor,Mekvabishvili,23,Georgia,174 cm,68 kg,False,https://media.api-sports.io/football/players/179935.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,2.0,188.0,,Midfielder,6.966666,False,1.0,1.0,1.0,12.0,1.0,0.0,0.0,,,25.0,1.0,5.0,,,,,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,,2001-06-05,Tbilisi,Georgia
4,Euro Championship,Adrian,Zeljković,22,Slovenia,192 cm,87 kg,False,https://media.api-sports.io/football/players/290045.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,0.0,0.0,0.0,,Midfielder,,False,0.0,0.0,4.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,2002-08-19,,Slovenia
4,Euro Championship,Srđan,Babić,28,Serbia,195 cm,96 kg,False,https://media.api-sports.io/football/players/340.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,0.0,0.0,0.0,,Defender,,False,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,1996-04-22,Banja Luka,Bosnia and Herzegovina
4,Euro Championship,Olivier Jonathan,Giroud,38,France,193 cm,91 kg,False,https://media.api-sports.io/football/players/2295.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,4.0,0.0,55.0,,Attacker,6.625000,False,4.0,0.0,6.0,9.0,,0.0,0.0,,2.0,2.0,,,,,,,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1986-09-30,Chambéry,France
4,Euro Championship,Karol Grzegorz,Świderski,27,Poland,184 cm,77 kg,False,https://media.api-sports.io/football/players/2385.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,0.0,87.0,,Attacker,6.866666,False,3.0,0.0,3.0,9.0,2.0,0.0,0.0,,2.0,3.0,,,,2.0,,,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,1997-01-23,Rawicz,Poland
4,Euro Championship,Jasir,Asani,29,Albania,175 cm,69 kg,False,https://media.api-sports.io/football/players/3464.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,3.0,3.0,213.0,,Attacker,6.833333,False,0.0,3.0,0.0,26.0,1.0,0.0,1.0,,3.0,9.0,,4.0,,7.0,2.0,,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,,1995-05-19,Skopje,North Macedonia
4,Euro Championship,Oleksandr,Svatok,30,Ukraine,186 cm,78 kg,False,https://media.api-sports.io/football/players/14333.png,https://media.api-sports.io/football/leagues/4.png,World,,2024,1.0,1.0,81.0,,Defender,6.900000,False,0.0,1.0,2.0,2.0,,0.0,0.0,,,24.0,1.0,3.0,,,,,,2.0,0.0,0.0,0.0,,0.0,0.0,,1994-09-27,Kamianske,Ukraine
