id,name,firstname,lastname,age,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,birth_date,birth_place,birth_country
188,S. Handanovič,Samir,Handanovič,39.0,Slovenia,193 cm,92 kg,False,https://media.api-sports.io/football/players/188.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-07-14,Ljubljana,Slovenia
214,F. Colidio,Facundo,Colidio,23.0,Argentina,182 cm,68 kg,False,https://media.api-sports.io/football/players/214.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-04,Rafaela,Argentina
526,A. Onana,André,Onana Onana,27.0,Cameroon,190 cm,93 kg,False,https://media.api-sports.io/football/players/526.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-04-02,Nkol Ngok,Cameroon
1831,A. Rebić,Ante,Rebić,30.0,Croatia,185 cm,78 kg,False,https://media.api-sports.io/football/players/1831.png,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-09-21,Split,Croatia
2897,Kim Min-Jae,Min-Jae,Kim,27.0,Korea Republic,190 cm,84 kg,False,https://media.api-sports.io/football/players/2897.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-11-15,Tongyeong,Korea Republic
30786,S. Sturaro,Stefano,Sturaro,30.0,Italy,181 cm,80 kg,False,https://media.api-sports.io/football/players/30786.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-03-09,Sanremo,Italy
30974,A. Cordaz,Alex,Cordaz,40.0,Italy,188 cm,83 kg,False,https://media.api-sports.io/football/players/30974.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-01-01,Vittorio Veneto,Italy
30996,M. Rohdén,Marcus Christer,Rohdén,32.0,Sweden,182 cm,76 kg,False,https://media.api-sports.io/football/players/30996.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-05-11,Värnamo,Sweden
31081,F. Cassata,Francesco D'Assisi,Cassata,26.0,Italy,183 cm,76 kg,False,https://media.api-sports.io/football/players/31081.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-07-16,Sarzana,Italy
31531,L. Candellone,Leonardo,Candellone,26.0,Italy,186 cm,70 kg,False,https://media.api-sports.io/football/players/31531.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-09-15,Torino,Italy
112396,A. Satariano,Alexander,Satariano,22.0,Malta,184 cm,,False,https://media.api-sports.io/football/players/112396.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-25,,Malta
135863,G. Ciocci,Giuseppe,Ciocci,21.0,Italy,,,False,https://media.api-sports.io/football/players/135863.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-01-24,,Italy
135965,D. Males,Darian,Males,22.0,Switzerland,188 cm,76 kg,False,https://media.api-sports.io/football/players/135965.png,505,Inter,https://media.api-sports.io/football/teams/505.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-03,Luzern,Switzerland
264479,G. Manzari,Giacomo,Manzari,24.0,Italy,178 cm,72 kg,False,https://media.api-sports.io/football/players/264479.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-09-21,Bari,Italy
279760,G. Agostino,Giuseppe,Agostino,21.0,Italy,,,False,https://media.api-sports.io/football/players/279760.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-12-21,,Italy
291780,D. Boloca,Daniel,Boloca,26.0,Romania,188 cm,80 kg,False,https://media.api-sports.io/football/players/291780.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-12-22,Chieri,Italy
315026,Y. Kallon,Yayah,Kallon,23.0,Sierra Leone,175 cm,70 kg,False,https://media.api-sports.io/football/players/315026.png,495,Genoa,https://media.api-sports.io/football/teams/495.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2023,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-30,,Sierra Leone
